X,Y,OBJECTID,Enabled,FeatureID,FeatureType,Ownership,AdministrativeArea,WaterSystem,InstallDate,LocationDescription,Elevation,GPS_Date,WebMap,AerialCorrected,Asset_Description
-9810447.9067,5221416.73,1,1,54H013,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"37080 AVON DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4021865458303&lng=-88.1287529868147&z=19&slat=42.4021865458303&slng=-88.1287529868147&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810201.7432,5221561.0497,2,1,54H023,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"25315 TIMBER LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4031438723981&lng=-88.1265416620617&z=19&slat=42.4031438723981&slng=-88.1265416620617&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810079.0874,5221528.6093,3,1,54H018,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"25266 TIMBER LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4029286842592&lng=-88.1254398267328&z=19&slat=42.4029286842592&slng=-88.1254398267328&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810093.3454,5221864.3135,4,1,54H041,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1990/12/12 00:00:00+00,"25274 CARSON DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4051554874355&lng=-88.1255679077255&z=19&slat=42.4051554874355&slng=-88.1255679077255&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810165.8433,5221966.2186,5,1,54H046,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1965/09/22 00:00:00+00,"25309 FAIRVIEW CIR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4058314321939&lng=-88.1262191679062&z=19&slat=42.4058314321939&slng=-88.1262191679062&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810408.8344,5221749.875,6,1,54H097,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1992/03/18 00:00:00+00,"25418 KNOLLS CT, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4043963998224&lng=-88.1284019943275&z=19&slat=42.4043963998224&slng=-88.1284019943275&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809795.9406,5221926.3269,7,1,54H040,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1990/12/12 00:00:00+00,"37323 PIPER LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.405566828424&lng=-88.1228962753195&z=19&slat=42.405566828424&slng=-88.1228962753195&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809722.3258,5224413.4689,8,1,54H104  ,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,2003/07/21 00:00:00+00,"25076 WARREN AVE, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4220620422489&lng=-88.1222349819576&z=19&slat=42.4220620422489&slng=-88.1222349819576&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809806.5936,5224470.1288,9,1,54H105  ,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,2003/07/21 00:00:00+00,"38423 ADAMS ST, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4224377716499&lng=-88.1229919733059&z=19&slat=42.4224377716499&slng=-88.1229919733059&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809883.1507,5221244.9598,10,1,54H001,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/09/09 00:00:00+00,"25174 MONAVILLE RD, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4010471107999&lng=-88.1236796967767&z=19&slat=42.4010471107999&slng=-88.1236796967767&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
